Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","Raspberry Pi 4 Model B","SBC 1.2GHZ 4 CORE 1GB RAM","electrical","mcu",1,55.00,55.00,"https://www.adafruit.com/product/4292"
"Global Shutter Camera","Arducam OV9281 1MP Camera Module","","electrical","sensor",1,29.99,29.99,"https://www.amazon.com/Arducam-OV9281-Global-Shutter-Raspberry/dp/B0B79J6141"
"650nm Line Laser","650nm 5mW Red Line Laser Module","Low-power, eye-safe red line laser module for illuminating the toilet bowl.","electrical","actuator",1,5.00,5.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxvvhnj6JUwl6sUKviNDOc1WDftFlf0EUWxrRiac5kw5LkPP9D42CyjsXR32gudhhIhT6f8Wtx2UZP4raPlY8z8VgtwTmlz0B4cGAJCC2ZTER8WY6VdEQrnVHVEo9nhhWhTE8FPiDYUGPfaWw3aqa3NJPG5B8YgU4z5xOZNFqd8p8177VlnNXAIgpxAlnVkTMRYeV07mwhRmWZS85Kw7VjpSWiJJscWru0BHrZtAQTaKQaxRU8K2lV6M03uaGKzvl4XsoF45kQ73J0k5LL23AcO1C9jYuMKkAZQLFtOuACpCh992bY1LJklYg56hMLt3ZvkEFWH5nRSpqZ54hadwqRllcGOLlxzc3pZ4QN95U4PDXJa5BwXvuU1Ql2gQfPwmjvUhqn9v3hYjQjrBNUcYHyI9kPMDRYDzkBPuwpRmYB33SCeSc2Vl0QDcp6IA8UYjQk6Ihuye9hxjrkdV6XYKsVxGFfpgGuGpE0TOivtnvl0pP9qSXzxH7xAy4ZgQrbqkSOTpmKnu6YFmb25qPKhNZdeI9iK4MdOMqlYfDQN4FFiqXtLfDcw66zOujH0POQbfZ8OR2n5CnMFhjTd7hc3YWzP4nv62XzHGMNnOw5HBd2D0WEAcTndNGPPMFcipZ4oQsZSY1CLqPw50xboqiU1VRsbA3"
"Acoustic Excitation Speaker","3-inch 5W Speaker","","electrical","actuator",1,8.00,8.00,"https://www.adafruit.com/product/3536"
"Speaker Amplifier","PAM8403 5V Audio Amplifier Module","","electrical","module",1,2.50,2.50,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JyaqFoPR380TRZNj9ZhbScKzZaSkWIQRCPgqtkMwqO03z37bFaWx4jXryBHJYm7L55Vdj4lTyBI8w4u5m6ezLEkFMu0wPBEfYZ4auByqXBTi7sKK2UgkzSLDcrtNgDj7M4UqnlCv1hNc46GvP1H2uE0Pj2GaFnu0iTi5Nwpq3AJk4EvZgTra8SHNXBDt68Mang20U9SvlMEfFNjuGaTLoSiuNvyXDu0dVSGNWsTh1aZgoIeCoBvbfAz576d818e0PGJp8ZM4hy9YpNd9gi2k1x9PJMGfYjlscW1Zc50FQjSo4Mpf3CmNhANg8w4it4gQfMuYuHlXlb5eeHgxu5M23UaOebHMTMeKbVnREonvrBg7Fql24mQXbmQ4tK2kroW0i0FHWFXUZ5aRW0IufFz3rtAfLv2D1dlyXey86NEwWpM2kAQeSIzQsdswbAjOZmLSpKrv700C1bnz9zPl5Ba7SFpNBEnaQ2YxcMZ7ip4ZOstJ8fPkZdMrJhmj5LvlqtlElQYQaOfh91qZ2wdZl8J5X7V3St9x8bHMN8vjnbNeMv2xt8FclwsRxFXNbmKUym2mnStNH9eJ4e83mh77JxuO0M4EZxHm3D0F195HOKXZSML3rfdtKmaPhQZZT35aXeaBX4NksuJwlP8sg078RU7RImb51"
"5V Power Regulator","MP1584EN DC-DC Buck Converter","Regulates power from the main 12V supply to 5V for ESP32-S3 modules and various sensors.","electrical","power",1,1.00,1.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxHNSBmwrWAucJktiEiF7T0GrENZ2N7RQ8V7BzbnqVxsrMEtflOJAoWeKe8mUiCgYFPVMDIxu8NTz8jXT1itEaiw2BrvgnZAqoOdAQLXgy2xDI4IYHyjpfL1PV4yQQtYDMvEqzJqDLvhVGKAiCSoNBbLpErJsRrHybXqL0l95P6DX7YO2HSjDGZzgHtn95FpQWrCBaeHi8mx944vsSryVj7eT6Sb8xcDO8fqvWx7F1j8AKh3uGoTCPCuLrbXmc6sUvaQ7m8LFUe2g4xh1tUuHiGIndZopaYEfnCEMBScuOplFQbDjkUTZgOTXPax18bkqbgbOTLzY7SJbKckFuhGz3UYNOnSBJYDXhzVqpusBKLPYjCGa6rwwFNbZFpzgOCkuq6c4CkD4rSRTCuU9IvhYBlbdG7aC7YuVTaor0egpSUNkR9QroJ07FQP8h2lGRRe6rgZbJJdEmfo8Ve3kcPJbrVhVi0loBcaeIwK0NjJjvOVHjKWtY0urT5Hu0uWtcTHyZyPGuEDMvvs9pHxae4swLUh5pimh4FsowdUq0tkXzTOJ5httDvzODWZl3fgJZ83aRBKEOKkHhr59k1BAFqvCssspNs4XD1ifkCRgito1iuOuvlDhqnHvxUXY3HN9y095u3bUEAt8Bf9I8Gdiq13osKer"
"Payload Main Housing","","Lightweight custom housing for laser, camera, and speaker, designed for optimal parallel alignment and fixed offset. Also houses the Raspberry Pi and other electronics.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=PETG+filament"
"Gimbal Mounting Plate","","Adapter plate to rigidly connect the main payload housing to an off-the-shelf vibration-dampened gimbal.","mechanical","3d_printed",1,0.80,0.80,"https://www.amazon.com/s?k=PETG+filament"
"Camera Mount Bracket","","Internal bracket to securely mount the Arducam OV9281 camera within the main housing, ensuring precise optical alignment.","mechanical","3d_printed",1,0.30,0.30,"https://www.amazon.com/s?k=PETG+filament"
"Laser Mount Clamp","","Clamp for holding the line laser module in position, allowing fine adjustment for alignment within the housing.","mechanical","3d_printed",1,0.25,0.25,"https://www.amazon.com/s?k=PETG+filament"
